,n_times,n_locs,algorithm,t_rel (us)
0,1,1,pvlib.nrel_numba,1766759.329332369
1,1,1,pvlib.nrel_numpy,8238.38133510435
2,1,1,sg2.sg2_c++,110.22133306444933
3,1,1,sunwhere.iqbal_numexpr,18101.49333323352
4,1,1,sunwhere.iqbal_numpy,7761.282001107854
5,1,1,sunwhere.nrel_numexpr,25565.702669458307
6,1,1,sunwhere.psa_numexpr,14840.921665988086
7,1,1,sunwhere.psa_numpy,9225.88199925182
8,1,1,sunwhere.soltrack_numexpr,13477.579666262804
9,1,1,sunwhere.soltrack_numpy,4138.024666948088
10,1,10,pvlib.nrel_numba,440.4167001969957
11,1,10,pvlib.nrel_numpy,4944.614033593098
12,1,10,sg2.sg2_c++,30.56426648981869
13,1,10,sunwhere.iqbal_numexpr,803.5366998228709
14,1,10,sunwhere.iqbal_numpy,880.8569001606278
15,1,10,sunwhere.nrel_numexpr,910.1352998792814
16,1,10,sunwhere.psa_numexpr,949.5253332715948
17,1,10,sunwhere.psa_numpy,1068.4508666599868
18,1,10,sunwhere.soltrack_numexpr,929.1208669310436
19,1,10,sunwhere.soltrack_numpy,750.9980000274179
20,1,100,pvlib.nrel_numba,336.2039300312366
21,1,100,pvlib.nrel_numpy,3082.789293330279
22,1,100,sg2.sg2_c++,4.456176684470847
23,1,100,sunwhere.iqbal_numexpr,87.34387668179502
24,1,100,sunwhere.iqbal_numpy,104.71340333121286
25,1,100,sunwhere.nrel_numexpr,104.88939665568373
26,1,100,sunwhere.psa_numexpr,82.25195667667624
27,1,100,sunwhere.psa_numpy,93.83966667276886
28,1,100,sunwhere.soltrack_numexpr,85.95504999296585
29,1,100,sunwhere.soltrack_numpy,72.03354666368492
30,1,100x100,pvlib.nrel_numba,185.7099492667961
31,1,100x100,pvlib.nrel_numpy,2890.9945950998613
32,1,100x100,sg2.sg2_c++,0.5417141668052257
33,1,100x100,sunwhere.iqbal_numexpr,0.9181589334427068
34,1,100x100,sunwhere.iqbal_numpy,1.094442933390383
35,1,100x100,sunwhere.nrel_numexpr,1.2943783335989183
36,1,100x100,sunwhere.psa_numexpr,0.9662624999085284
37,1,100x100,sunwhere.psa_numpy,0.7970868666840639
38,1,100x100,sunwhere.soltrack_numexpr,1.0731274334830232
39,1,100x100,sunwhere.soltrack_numpy,1.0077721666069313
40,1,10x10,pvlib.nrel_numba,309.89825664922444
41,1,10x10,pvlib.nrel_numpy,3048.9818033189904
42,1,10x10,sg2.sg2_c++,3.3407399799519526
43,1,10x10,sunwhere.iqbal_numexpr,87.9697066557128
44,1,10x10,sunwhere.iqbal_numpy,97.91176665506404
45,1,10x10,sunwhere.nrel_numexpr,113.04705665679649
46,1,10x10,sunwhere.psa_numexpr,83.02169332940441
47,1,10x10,sunwhere.psa_numpy,84.02602332353126
48,1,10x10,sunwhere.soltrack_numexpr,94.96398665457188
49,1,10x10,sunwhere.soltrack_numpy,70.74342000123579
50,1,50x50,pvlib.nrel_numba,189.66382813329497
51,1,50x50,pvlib.nrel_numpy,2885.5812385329045
52,1,50x50,sg2.sg2_c++,0.6177660000200074
53,1,50x50,sunwhere.iqbal_numexpr,3.249321866314858
54,1,50x50,sunwhere.iqbal_numpy,4.968821466415345
55,1,50x50,sunwhere.nrel_numexpr,5.622847333628064
56,1,50x50,sunwhere.psa_numexpr,3.6695741330428673
57,1,50x50,sunwhere.psa_numpy,3.489089999735977
58,1,50x50,sunwhere.soltrack_numexpr,3.9175133337266743
59,1,50x50,sunwhere.soltrack_numpy,3.4008534673679
60,10,1,pvlib.nrel_numba,335.3793334099464
61,10,1,pvlib.nrel_numpy,582.5667668735454
62,10,1,sg2.sg2_c++,27.32626647533228
63,10,1,sunwhere.iqbal_numexpr,926.8210332569046
64,10,1,sunwhere.iqbal_numpy,901.1733000079404
65,10,1,sunwhere.nrel_numexpr,1125.357199877423
66,10,1,sunwhere.psa_numexpr,772.0323332857031
67,10,1,sunwhere.psa_numpy,696.0652999017233
68,10,1,sunwhere.soltrack_numexpr,1021.71036657334
69,10,1,sunwhere.soltrack_numpy,826.5440667552564
70,10,10,pvlib.nrel_numba,199.09699670582395
71,10,10,pvlib.nrel_numpy,397.7945966471452
72,10,10,sg2.sg2_c++,3.434836665595261
73,10,10,sunwhere.iqbal_numexpr,71.12654333468527
74,10,10,sunwhere.iqbal_numpy,68.44476332238023
75,10,10,sunwhere.nrel_numexpr,144.27239000118183
76,10,10,sunwhere.psa_numexpr,74.8321966724082
77,10,10,sunwhere.psa_numpy,130.97202331361282
78,10,10,sunwhere.soltrack_numexpr,80.94499001648121
79,10,10,sunwhere.soltrack_numpy,73.3956466865493
80,10,100,pvlib.nrel_numba,107.73203233596482
81,10,100,pvlib.nrel_numpy,288.54369333566865
82,10,100,sg2.sg2_c++,0.8253490013885312
83,10,100,sunwhere.iqbal_numexpr,8.735622330277693
84,10,100,sunwhere.iqbal_numpy,8.641320334087748
85,10,100,sunwhere.nrel_numexpr,9.776990334406342
86,10,100,sunwhere.psa_numexpr,8.80504899881392
87,10,100,sunwhere.psa_numpy,8.157102666397503
88,10,100,sunwhere.soltrack_numexpr,8.195993332871392
89,10,100,sunwhere.soltrack_numpy,7.56441199943462
90,10,100x100,pvlib.nrel_numba,89.34366196001065
91,10,100x100,pvlib.nrel_numpy,270.56187781667785
92,10,100x100,sg2.sg2_c++,0.2097446466602074
93,10,100x100,sunwhere.iqbal_numexpr,0.1321690266680282
94,10,100x100,sunwhere.iqbal_numpy,0.2477856933304186
95,10,100x100,sunwhere.nrel_numexpr,0.2413337299852476
96,10,100x100,sunwhere.psa_numexpr,0.1082825533376308
97,10,100x100,sunwhere.psa_numpy,0.4001374433452535
98,10,100x100,sunwhere.soltrack_numexpr,0.1337142066525605
99,10,100x100,sunwhere.soltrack_numpy,0.1905297599902648
100,10,10x10,pvlib.nrel_numba,97.99880366578388
101,10,10x10,pvlib.nrel_numpy,291.03802466367296
102,10,10x10,sg2.sg2_c++,0.6595873346668669
103,10,10x10,sunwhere.iqbal_numexpr,9.445449332512604
104,10,10x10,sunwhere.iqbal_numpy,14.146642999548932
105,10,10x10,sunwhere.nrel_numexpr,15.026901666715275
106,10,10x10,sunwhere.psa_numexpr,8.473215665920483
107,10,10x10,sunwhere.psa_numpy,11.623409666450849
108,10,10x10,sunwhere.soltrack_numexpr,8.167396668189516
109,10,10x10,sunwhere.soltrack_numpy,7.442094332266909
110,10,50x50,pvlib.nrel_numba,91.57911674672503
111,10,50x50,pvlib.nrel_numpy,270.1305517066309
112,10,50x50,sg2.sg2_c++,0.3044577332912013
113,10,50x50,sunwhere.iqbal_numexpr,0.4659271601121872
114,10,50x50,sunwhere.iqbal_numpy,0.5654664399723212
115,10,50x50,sunwhere.nrel_numexpr,0.7613303465768696
116,10,50x50,sunwhere.psa_numexpr,0.3799164533847943
117,10,50x50,sunwhere.psa_numpy,0.513846213289071
